Movie,Best Predictor,COD
Braveheart (1995),Blow (2001),0.39661256410208945
The Intouchables (2011),The Station Agent (2003),0.39633600477723063
The Godfather (1972),The Godfather: Part II (1974),0.39617822835795946
The Godfather: Part II (1974),The Godfather (1972),0.39617822835795946
Cast Away (2000),The Lookout (2007),0.3952430145330452
Baby Geniuses (1999),Sexy Beast (2000),0.39495523216292006
Pirates of the Caribbean: At World's End (2007),Pirates of the Caribbean: The Curse of the Black Pearl (2003),0.39487603864032406
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Pirates of the Caribbean: At World's End (2007),0.39487603864032406
Rosemary's Baby (1968),Close Encounters of the Third Kind (1977),0.3940414297384146
Night of the Living Dead (1968),Escape from LA (1996),0.3935617517507587
The Transporter (2002),I.Q. (1994),0.3933040084427799
The Truman Show (1998),The Deer Hunter (1978),0.3923193454414887
The Others (2001),Barbarella (1968),0.389955443245133
Rocky V (1991),The Bandit (1996),0.38946486297888794
Memento (2000),Miller's Crossing (1990),0.3867827621812314
Monsters  Inc.(2001),Toy Story (1995),0.3818434877352124
The Thing (1982),Sexy Beast (2000),0.3765194385193833
Taxi Driver (1976),Diamonds are Forever (1971),0.3760593567253243
Indiana Jones and the Last Crusade (1989),Indiana Jones and the Temple of Doom (1984),0.3744782737500618
Indiana Jones and the Temple of Doom (1984),Indiana Jones and the Last Crusade (1989),0.3744782737500617
Halloween (1978),FeardotCom (2002),0.3698652332308161
Rocky (1976),Best Laid Plans (1999),0.3691271995984998
Groundhog Day (1993),FeardotCom (2002),0.36787705611106325
The Mist (2007),The Lookout (2007),0.36739333138654573
Lost in Translation (2003),Cool Hand Luke (1967),0.36734540692857864
Die Hard (1988),Escape from LA (1996),0.36732443127717773
Pirates of the Caribbean: Dead Man's Chest (2006),Pirates of the Caribbean: At World's End (2007),0.367212431026693
Armageddon (1998),Billy Jack (1971),0.36566464632450857
Girl Interrupted (1999),Sexy Beast (2000),0.36462482484888026
One Flew Over the Cuckoo's Nest (1975),Miller's Crossing (1990),0.3638334713662861
Meet the Parents (2000),FeardotCom (2002),0.36250432267214616
The Shawshank Redemption (1994),Crimson Tide (1995),0.36090438569871985
Donnie Darko (2001),Patton (1970),0.36067537079665846
Se7en (1995),Escape from LA (1996),0.36009431204746145
Big Fish (2003),Chain Reaction (1996),0.35984601041296704
Friday the 13th Part III (1982),The Final Conflict (1981),0.3556565722326055
Happy Gilmore (1996),Billy Madison (1995),0.34695569982297814
Billy Madison (1995),Happy Gilmore (1996),0.346955699822978
Anaconda (1997),The Lookout (2007),0.3468630914638312
10000 BC (2008),The Bandit (1996),0.34657854995103166
The Holiday (2006),What Lies Beneath (2000),0.3447317675535898
A Clockwork Orange (1971),Heavy Traffic (1973),0.3439020085320824
Who Framed Roger Rabbit (1988),FeardotCom (2002),0.343222159157451
Ocean's Eleven (2001),Analyze That (2002),0.33678101795516846
Minority Report (2002),From Hell (2001),0.3357214607453455
Scream 3 (2000),Friday the 13th Part III (1982),0.329702765979356
Alien (1979),Aliens (1986),0.32954793641177993
Finding Nemo (2003),Monsters  Inc.(2001),0.32851214942146456
Eternal Sunshine of the Spotless Mind (2004),Analyze That (2002),0.32668553511792064
Pearl Harbor (2001),The Final Conflict (1981),0.3239298874561414
Ace Ventura: When Nature Calls (1995),FeardotCom (2002),0.3230798212990106
Cloverfield (2008),Blow (2001),0.3229678994009517
Blade Runner (1982),The Final Conflict (1981),0.31562411638911303
Indiana Jones and the Raiders of the Lost Ark (1981),Indiana Jones and the Last Crusade (1989),0.31366080451639533
The Matrix Revolutions (2003),The Matrix Reloaded (2003),0.3134122306874445
The Matrix Reloaded (2003),The Matrix Revolutions (2003),0.3134122306874443
The Omen (1976),Brazil (1985),0.3112575836120166
Batman (1989),The Lookout (2007),0.3106768235976567
Jurassic Park III (2001),The Lost World: Jurassic Park (1997),0.30931941446579103
The Lost World: Jurassic Park (1997),Jurassic Park III (2001),0.3093194144657909
The Visit (2015),Downfall (2004),0.30666286096448125
I Robot (2004),Sexy Beast (2000),0.3058090246266105
Terminator 3: Rise of the Machines (2003),Terminator 2: Judgement Day (1991),0.30452524220042376
Terminator 2: Judgement Day (1991),Terminator 3: Rise of the Machines (2003),0.30452524220042365
I Know What You Did Last Summer (1997),A Time to Kill (1996),0.3024000214198381
Signs (2002),Barb Wire (1996),0.2984500538227536
American Psycho (2000),Tropic of Cancer (1970),0.2979851610111176
Jurassic Park (1993),The Lost World: Jurassic Park (1997),0.2968088595606392
The Pianist (2002),Torque (2004),0.2952376833317628
The Last Samurai (2003),FeardotCom (2002),0.29447413009153733
Charlie's Angels (2000),Crimson Tide (1995),0.29254733279393363
Sixteen Candles (1984),Best Laid Plans (1999),0.2919731409204682
A Beautiful Mind (2001),The King of Marvin Gardens (1972),0.2917601050542088
Rambo: First Blood Part II (1985),Pieces of April (2003),0.28911668225139187
Top Gun (1986),The Lookout (2007),0.2876855563160826
Rush Hour 2 (2001),The Mummy Returns (2001),0.2875419018575336
Fargo (1996),Brazil (1985),0.28672798290158985
The Lion King (1994),Toy Story (1995),0.2864665585541085
Gladiator (2000),FeardotCom (2002),0.27815132044092306
Psycho (1960),What Lies Beneath (2000),0.27765221706564924
Star Trek: The Motion Picture (1979),The Lookout (2007),0.27761238679240374
Daredevil (2003),The Bandit (1996),0.2771523965023349
Grease (1978),The Straight Story (1999),0.2764343445926313
The Matrix (1999),Miller's Crossing (1990),0.27451243594544805
Carrie (1976),Sexy Beast (2000),0.27450454571671823
The Hulk (2003),The Bandit (1996),0.2735440714392723
E.T. The Extra-Terrestrial (1982),The Final Conflict (1981),0.2732911704269627
The Avengers (2012),Captain America: Civil War (2016),0.27222306742529523
Captain America: Civil War (2016),The Avengers (2012),0.2722230674252951
8 Mile (2002),The Final Conflict (1981),0.27153119655474733
Pulp Fiction (1994),The Deer Hunter (1978),0.2701543518011379
Independence Day (1996),Erik the Viking (1989),0.2695325366400816
The Sixth Sense (1999),Boomerang (1992),0.26938991773730425
Mrs. Doubtfire (1993),Analyze That (2002),0.26873173507467896
10 Things I Hate About You (1999),The Insider (1999),0.2682457361495172
Beauty and the Beauty (1991),War Games (1983),0.266712140492971
Scream (1996),Scream 3 (2000),0.2666806734044629
Ouija: Origin of Evil (2016),The Lookout (2007),0.2664071247159604
The Iron Giant (1999),JFK (1991),0.265315865019783
Beetle Juice (1988),De-Lovely (2004),0.26441182824771525
Bend it Like Beckham (2002),Crimson Tide (1995),0.2612300033002951
Iron Man 3 (2013),Captain America: Civil War (2016),0.2553244278306489
The Karate Kid Part II (1986),Chain Reaction (1996),0.2529603837789237
Good Will Hunting (1997),Brazil (1985),0.25200838921714364
Aladdin (1992),Beauty and the Beauty (1991),0.2517915979848775
Bruce Almighty (2003),Crimson Tide (1995),0.24973080421660543
Room (2015),Bram Stoker's Dracula (1992),0.24554983891668047
Split (2016),The Lookout (2007),0.24445643399755868
American Pie (1999),Crimson Tide (1995),0.24255736561609254
The Mask (1994),The Lookout (2007),0.24130419456655916
Tarzan (1999),Best Laid Plans (1999),0.241234127929011
Poltergeist (1982),Night of the Living Dead (1968),0.23922736758249052
My Big Fat Greek Wedding (2002),Father's Day (1997),0.2374130283145186
A Bug's Life (1998),I.Q. (1994),0.23723801304914904
The Shining (1980),Psycho (1960),0.23705154245096038
Godzilla (1998),The Final Conflict (1981),0.23642588067285408
Spirited Away (2001),Erik the Viking (1989),0.23613333031054118
How the Grinch Stole Christmas (2000),Erik the Viking (1989),0.2354168149199536
Dead Poets Society (1989),Sexy Beast (2000),0.23353635369814807
Cheaper by the Dozen (2003),Moonraker (1979),0.2333794139978912
Django Unchained (2012),The Life of David Gale (2003),0.23233530678010406
The Babadook (2014),The Lookout (2007),0.23173445972670914
The Blair Witch Project (1999),FeardotCom (2002),0.23135619388263173
Inglorious Bastards (2009),Django Unchained (2012),0.2307261350343076
Schindler's List (1993),Leon (1994),0.22818369184942433
American Beauty (1999),Slackers (2002),0.22639811603072113
Saving Private Ryan (1998),Unforgiven (1992),0.22385033240338614
Jaws (1975),JFK (1991),0.22379967035544512
The Princess Bride (1987),Cocktail (1988),0.22292893520504675
Zoolander (2001),Sexy Beast (2000),0.2213322335372352
Transformers: Age of Extinction (2014),Iron Man 3 (2013),0.22095781054766084
The Texas Chainsaw Massacre (1974),Friday the 13th Part III (1982),0.21775755829373278
King Kong (1976),Unforgiven (1992),0.21748992290395797
Home Alone (1990),The Lookout (2007),0.21648180938489048
Batman & Robin (1997),Broken Arrow (1996),0.21340268838727472
Saw (2004),Halloween (1978),0.21212652812060406
A Nightmare on Elm Street (1984),Tropic of Cancer (1970),0.21174664733151294
Indiana Jones and the Kingdom of the Crystal Skull (2008),Crimson Tide (1995),0.21165478575965402
The Nightmare Before Christmas (1993),The Insider (1999),0.21068277590228535
The Ring (2002),Erik the Viking (1989),0.21037108215809563
Scary Movie (2000),Hollow Man (2000),0.21035169146899402
Batman: The Dark Knight (2008),Crimson Tide (1995),0.20690691530697125
Elf (2003),The Doom Generation (1995),0.19858879359094883
The Conjuring (2013),The Exorcist (1973),0.19847391483204524
The Exorcist (1973),The Conjuring (2013),0.19847391483204513
Ghostbusters (2016),The Doom Generation (1995),0.1920869574739884
The Jungle Book (1967),Tarzan (1999),0.18879929537034412
Planet of the Apes (2001),Equilibrium (2002),0.18877948940600064
Mission: Impossible II (2000),Boomerang (1992),0.18847616919961718
Ice Age (2002),On Golden Pond (1981),0.18829625359866053
The Vow (2012),The Proposal (2009),0.18804119443379375
The Proposal (2009),The Vow (2012),0.18804119443379363
Fight Club (1999),Snatch (2000),0.18631096026793525
Shutter Island (2010),Miller's Crossing (1990),0.1822618592594336
Back to the Future (1985),The 51st State (2001),0.1792274435983402
Bad Teacher (2011),Hollow Man (2000),0.1781505582532822
Spider-Man (2002),Batman (1989),0.17667963521735575
Forrest Gump (1994),Rain Man (1988),0.17548272387581054
Inception (2010),The Game (1997),0.1751119967562147
The Silence of the Lambs (1991),The Shining (1980),0.1723976576053532
The Wolf of Wall Street (2013),As Good as it Gets (1997),0.17154457601658468
Grown Ups 2 (2013),The Core (2003),0.17111918539600846
The Fast and the Furious (2001),Terminator 3: Rise of the Machines (2003),0.1689914228239079
13 Going on 30 (2004),Can't Hardly Wait (1998),0.16016372820860814
Titanic (1997),Cocktail (1988),0.15413567330482103
La La Land (2016),The Lookout (2007),0.14851372649350147
The Cabin in the Woods (2012),The Evil Dead (1981),0.1438868695548512
Clueless (1995),Escape from LA (1996),0.141426437225317
Black Swan (2010),Sorority Boys (2002),0.11708033979272658
Interstellar (2014),Torque (2004),0.11134259626426413
Avatar (2009),Bad Boys (1995),0.07948469093084631
